Temperature,Vdd,Uniqueness
50,2.6,50.04533157894738
50,2.61,50.04554210526314
50,2.62,50.038115789473714
50,2.63,50.05093157894736
50,2.64,50.053599999999996
50,2.65,50.0462947368421
50,2.66,50.061163157894704
50,2.67,50.07252105263156
50,2.68,50.03605263157894
50,2.69,50.07395789473684
50,2.7,50.06247368421051
50,2.71,50.06352105263154
50,2.72,50.064578947368446
50,2.73,50.07743684210526
50,2.74,50.06683684210523
50,2.75,50.0923736842105
50,2.76,50.06252105263158
50,2.77,50.076257894736855
50,2.78,50.08236842105263
50,2.79,50.07212105263159
50,2.8,50.11471052631579
50,2.81,50.09814210526316
50,2.82,50.08396315789474
50,2.83,50.08716315789472
50,2.84,50.097710526315794
50,2.85,50.09447894736846
50,2.86,50.099884210526305
50,2.87,50.12443157894734
50,2.88,50.10774736842104
50,2.89,50.09453684210526
50,2.9,50.11257368421054
50,2.91,50.109721052631585
50,2.92,50.12776315789471
50,2.93,50.13817894736844
50,2.94,50.108768421052574
50,2.95,50.13201578947367
50,2.96,50.11881578947368
50,2.97,50.10643157894733
50,2.98,50.1296684210526
50,2.99,50.131642105263154
50,3.0,50.12123684210523
80,0.5,49.743810526315755
80,0.51,49.74401578947369
80,0.52,49.71903684210528
80,0.53,49.73706315789472
80,0.54,49.72989999999999
80,0.55,49.72917368421051
80,0.56,49.74377894736838
80,0.57,49.72249999999998
80,0.58,49.73223157894736
80,0.59,49.73707894736844
80,0.6,49.73383684210529
80,0.61,49.74202105263157
80,0.62,49.75079473684212
80,0.63,49.71941578947369
80,0.64,49.728352631578964
80,0.65,49.743942105263145
80,0.66,49.74035789473687
80,0.67,49.742910526315754
80,0.68,49.737973684210516
80,0.69,49.725321052631564
80,0.7,49.738026315789455
80,0.71,49.73772105263159
80,0.72,49.72622631578946
80,0.73,49.74262631578948
80,0.74,49.749526315789474
80,0.75,49.736347368421036
80,0.76,49.73162631578947
80,0.77,49.739489473684195
80,0.78,49.731457894736835
80,0.79,49.75059473684212
80,0.8,49.723589473684186
80,0.81,49.747321052631584
80,0.82,49.755942105263124
80,0.83,49.74918421052628
80,0.84,49.745594736842094
80,0.85,49.73532105263156
80,0.86,49.75132631578946
80,0.87,49.7546157894737
80,0.88,49.75272631578948
80,0.89,49.73744210526317
80,0.9,49.73368947368424
80,0.91,49.74648947368422
80,0.92,49.75518947368422
80,0.93,49.754426315789495
80,0.94,49.758036842105234
80,0.95,49.78130526315789
80,0.96,49.745536842105274
80,0.97,49.751284210526315
80,0.98,49.75158421052633
80,0.99,49.75732105263158
80,1.0,49.77507368421053
80,1.01,49.75903684210524
80,1.02,49.7650894736842
80,1.03,49.75749999999998
80,1.04,49.763184210526326
80,1.05,49.75749473684212
80,1.06,49.76155263157894
80,1.07,49.76598421052633
80,1.08,49.75855789473683
80,1.09,49.750005263157895
80,1.1,49.74774210526316
80,1.11,49.761299999999984
80,1.12,49.772210526315796
80,1.13,49.755710526315795
80,1.14,49.75913157894736
80,1.15,49.76001578947369
80,1.16,49.785489473684194
80,1.17,49.776136842105274
80,1.18,49.76735789473685
80,1.19,49.76597368421049
80,1.2,49.774794736842146
80,1.21,49.754215789473676
80,1.22,49.77458421052631
80,1.23,49.78801052631576
80,1.24,49.77605789473684
80,1.25,49.77444210526318
80,1.26,49.76771578947371
80,1.27,49.785289473684216
80,1.28,49.792305263157914
80,1.29,49.775489473684196
80,1.3,49.77689473684211
80,1.31,49.78456842105265
80,1.32,49.768163157894726
80,1.33,49.785473684210544
80,1.34,49.77799473684209
80,1.35,49.77651578947371
80,1.36,49.77912105263156
80,1.37,49.78665263157897
80,1.38,49.795410526315756
80,1.39,49.804868421052625
80,1.4,49.805736842105276
80,1.41,49.78170526315789
80,1.42,49.801221052631576
80,1.43,49.79411052631579
80,1.44,49.82312631578947
80,1.45,49.81122105263159
80,1.46,49.80527368421053
80,1.47,49.79583684210526
80,1.48,49.79538947368422
